district,cycle,real_data,territorial,total_amount,tran_count,total_amount_without_LTS1,tran_count_without_LTS1,total_amount_no_primary,tran_count_no_primary,total_amount_no_primary_without_LTS1,tran_count_no_primary_without_LTS1,total_amount_primary,tran_count_primary,total_amount_primary_without_LTS1,tran_count_primary_without_LTS1,total_amount_gen,tran_count_gen,total_amount_gen_without_LTS1,tran_count_gen_without_LTS1,total_amount_special,tran_count_special,total_amount_special_without_LTS1,tran_count_special_without_LTS1,total_amount_dem_gen,tran_count_dem_gen,total_amount_dem_gen_without_LTS1,tran_count_dem_gen_without_LTS1,total_amount_dem_primary,tran_count_dem_primary,total_amount_dem_primary_without_LTS1,tran_count_dem_primary_without_LTS1,total_amount_dem_special,tran_count_dem_special,total_amount_dem_special_without_LTS1,tran_count_dem_special_without_LTS1,total_amount_rep_gen,tran_count_rep_gen,total_amount_rep_gen_without_LTS1,tran_count_rep_gen_without_LTS1,total_amount_rep_primary,tran_count_rep_primary,total_amount_rep_primary_without_LTS1,tran_count_rep_primary_without_LTS1,total_amount_rep_special,tran_count_rep_special,total_amount_rep_special_without_LTS1,tran_count_rep_special_without_LTS1
AL02,1992,1.0,0,1053937.0,1432.0,1053937.0,1432.0,516786.0,682.0,516786.0,682.0,537151.0,750.0,537151.0,750.0,432899.0,589.0,432899.0,589.0,0.0,0.0,0.0,0.0,290253.0,399.0,290253.0,399.0,376142.0,555.0,376142.0,555.0,0.0,0.0,0.0,0.0,142646.0,190.0,142646.0,190.0,161009.0,195.0,161009.0,195.0,0.0,0.0,0.0,0.0
AL02,1994,1.0,0,279106.0,521.0,279106.0,521.0,146486.0,272.0,146486.0,272.0,132620.0,249.0,132620.0,249.0,146486.0,272.0,146486.0,272.0,0.0,0.0,0.0,0.0,40911.0,58.0,40911.0,58.0,4100.0,8.0,4100.0,8.0,0.0,0.0,0.0,0.0,105575.0,214.0,105575.0,214.0,128520.0,241.0,128520.0,241.0,0.0,0.0,0.0,0.0
AL02,1996,1.0,0,501387.0,745.0,501387.0,745.0,251900.0,332.0,251900.0,332.0,249487.0,413.0,249487.0,413.0,251900.0,332.0,251900.0,332.0,0.0,0.0,0.0,0.0,130554.0,119.0,130554.0,119.0,52122.0,69.0,52122.0,69.0,0.0,0.0,0.0,0.0,121346.0,213.0,121346.0,213.0,197365.0,344.0,197365.0,344.0,0.0,0.0,0.0,0.0
AL02,1998,1.0,0,322704.0,568.0,322704.0,568.0,162774.0,273.0,162774.0,273.0,159930.0,295.0,159930.0,295.0,162774.0,273.0,162774.0,273.0,0.0,0.0,0.0,0.0,16314.0,36.0,16314.0,36.0,3250.0,4.0,3250.0,4.0,0.0,0.0,0.0,0.0,146460.0,237.0,146460.0,237.0,156680.0,291.0,156680.0,291.0,0.0,0.0,0.0,0.0
AL02,2000,1.0,0,387161.0,571.0,387161.0,571.0,184132.0,255.0,184132.0,255.0,203029.0,316.0,203029.0,316.0,184132.0,255.0,184132.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4300.0,8.0,4300.0,8.0,0.0,0.0,0.0,0.0,184132.0,255.0,184132.0,255.0,198729.0,308.0,198729.0,308.0,0.0,0.0,0.0,0.0
AL02,2002,1.0,0,452898.44,1089.0,452898.44,1089.0,205255.44,685.0,205255.44,685.0,247643.0,404.0,247643.0,404.0,178523.0,212.0,178523.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178523.0,212.0,178523.0,212.0,247643.0,404.0,247643.0,404.0,0.0,0.0,0.0,0.0
AL02,2004,1.0,0,720720.0,1253.0,720720.0,1253.0,255015.0,740.0,255015.0,740.0,465705.0,513.0,465705.0,513.0,224655.0,229.0,224655.0,229.0,0.0,0.0,0.0,0.0,300.0,1.0,300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224355.0,228.0,224355.0,228.0,465705.0,513.0,465705.0,513.0,0.0,0.0,0.0,0.0
AL03,1980,1.0,0,48137.0,94.0,48137.0,94.0,17988.0,39.0,17988.0,39.0,30149.0,55.0,30149.0,55.0,17988.0,39.0,17988.0,39.0,0.0,0.0,0.0,0.0,17988.0,39.0,17988.0,39.0,30149.0,55.0,30149.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL03,1982,1.0,0,58546.0,155.0,58546.0,155.0,16306.0,46.0,16306.0,46.0,42240.0,109.0,42240.0,109.0,16306.0,46.0,16306.0,46.0,0.0,0.0,0.0,0.0,16306.0,46.0,16306.0,46.0,42240.0,109.0,42240.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL03,1984,1.0,0,85001.0,217.0,85001.0,217.0,30887.0,77.0,30887.0,77.0,54114.0,140.0,54114.0,140.0,30887.0,77.0,30887.0,77.0,0.0,0.0,0.0,0.0,30887.0,77.0,30887.0,77.0,54114.0,140.0,54114.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
