district,cycle,real_data,territorial,cfscore_mean_prim_dem,cfscore_mean_prim_rep,cfscore_prim_abs_diff,cfscore_gen_dem,cfscore_gen_rep,cfscore_gen_abs_diff,cfscore_mean_contrib,cfscore_mean_contrib_dem,cfscore_mean_contrib_rep
AZ01,1990,1.0,0,,0.975,,,,,1.0143,,1.0143
AZ01,1992,1.0,0,-0.752,0.8505,1.6025,,,,0.16175257731958761,-0.4855384615384616,0.6844099378881987
AZ01,1994,1.0,0,-0.708,0.9066000000000001,1.6146,,,,0.3549695024077047,-0.48287136929460583,0.8835549738219896
AZ01,1996,1.0,0,,0.7015,,-0.821,1.206,2.027,0.9760607476635514,-0.765,1.026283653846154
AZ01,1998,1.0,0,-0.73,1.088,1.818,-0.744,,,0.9322878787878788,-0.763,0.9990314960629921
AZ01,2000,1.0,0,-0.784,0.69275,1.47675,,1.073,,0.8467246835443037,-0.7752857142857142,0.8648912
AZ01,2002,1.0,0,-0.75675,0.8193333333333334,1.5760833333333335,,0.611,,0.39889390642002176,-0.4897033898305085,1.1241719367588934
AZ01,2004,1.0,0,-1.03225,,,-0.791,1.069,1.8599999999999999,0.030165129924559934,-0.737150521609538,1.0165038314176245
AZ02,1980,1.0,0,,1.08,,,,,-0.08585277777777778,-0.49852238805970156,1.1162717391304349
AZ02,1982,1.0,0,-0.686,1.045,1.7309999999999999,,,,-0.07932666666666666,-0.492908256880734,1.0201951219512195
AZ02,1984,1.0,0,-0.671,1.0,1.671,,,,0.605239819004525,-0.36902272727272734,0.8474293785310735
AZ02,1986,1.0,0,-0.14600000000000002,1.224,1.37,,,,-0.2700823529411765,-0.28723809523809524,1.171
AZ02,1988,1.0,0,-0.631,,,,,,-0.2995,-0.2995,
AZ02,1990,1.0,0,,,,-0.655,,,-0.4311818181818182,-0.4311818181818182,
AZ02,1992,1.0,0,-0.6026666666666667,1.024,1.6266666666666667,,1.376,,-0.07214905450500556,-0.2739025367156208,0.9352733333333333
AZ02,1994,1.0,0,-0.211,1.177,1.3880000000000001,,1.2,,0.0329054054054054,-0.030489051094890515,0.8224545454545455
AZ02,1996,1.0,0,-0.386,1.4445000000000001,1.8305000000000002,,,,0.43939130434782603,-0.125090395480226,1.2583524590163935
AZ02,1998,1.0,0,,0.723,,-0.316,1.209,1.5250000000000001,-0.02330635838150289,-0.13140880503144653,1.2044285714285714
AZ02,2000,1.0,0,-0.305,1.33,1.635,,1.481,,0.20702491103202847,-0.04859111111111111,1.2340535714285714
AZ02,2002,1.0,0,-0.539,0.8625,1.4015,-0.68,,,0.9033738680465718,-0.437125,0.9463271028037383
AZ02,2004,1.0,0,-0.271,0.806,1.077,,1.186,,1.0373165680473373,-0.5992272727272727,1.151253164556962
AZ03,1980,1.0,0,0.812,,,,,,0.6012142857142857,0.6012142857142857,
AZ03,1982,1.0,0,-0.737,0.932,1.669,,,,0.5283265306122449,-0.600875,0.7486585365853659
AZ03,1984,1.0,0,-0.646,0.824,1.47,,,,0.3932439024390244,-0.3926428571428571,0.8007407407407408
AZ03,1986,1.0,0,,0.796,,-0.547,,,0.8545185185185185,,0.8545185185185185
AZ03,1988,1.0,0,,0.905,,,,,0.7851923076923076,,0.7851923076923076
AZ03,1990,1.0,0,-0.813,0.952,1.765,,,,0.8329173553719008,-0.7424,0.9008189655172413
AZ03,1992,1.0,0,-0.701,0.95,1.6509999999999998,,,,0.7907851239669421,-0.762090909090909,0.9460727272727273
AZ03,1994,1.0,0,,1.027,,,,,0.9547127659574468,,0.9547127659574468
AZ03,1996,1.0,0,,0.966,,,,,0.9018181818181819,,0.9018181818181819
AZ03,1998,1.0,0,-0.751,0.977,1.728,,,,0.9583057851239669,-0.807,0.9730166666666666
AZ03,2000,1.0,0,-0.699,0.812,1.5110000000000001,0.202,,,0.8279661835748793,-0.81,0.8602413793103448
AZ03,2002,1.0,0,,1.22,,-0.867,,,1.0631936936936937,-0.5587142857142857,1.1159999999999999
AZ03,2004,1.0,0,,1.14,,,,,1.1057099567099566,,1.1057099567099566
AZ04,1980,1.0,0,-0.537,1.193,1.73,,,,0.8440423728813559,-0.23731818181818182,1.0918541666666666
AZ04,1982,1.0,0,-0.748,1.137,1.885,,,,0.9894423076923077,,0.9894423076923077
AZ04,1984,1.0,0,,1.171,,,,,1.0434642857142857,,1.0434642857142857
AZ04,1986,1.0,0,-0.283,1.083,1.3659999999999999,,,,0.8145985267034991,-0.20922666666666667,0.9786730769230769
AZ04,1988,1.0,0,,1.103,,-0.759,,,0.9959324324324325,-0.277,1.0133698630136987
AZ04,1990,1.0,0,-0.317,1.069,1.386,,,,0.96341689373297,-0.15485,1.0278703170028818
AZ04,1992,1.0,0,-0.696,1.105,1.801,,,,0.9842459016393442,-0.4015,1.0492267002518891
AZ04,1994,1.0,0,-0.711,1.2186666666666666,1.9296666666666664,,,,0.8934861111111111,-0.4915619834710744,1.099119018404908
AZ04,1996,1.0,0,-0.563,0.6883333333333334,1.2513333333333332,,,,0.5225446985446985,-0.20265806451612903,0.8673496932515337
AZ04,1998,1.0,0,-0.601,,,,,,1.0192590163934427,-0.20293333333333333,1.0824758620689656
AZ04,2000,1.0,0,-0.597,1.148,1.7449999999999999,,,,1.0446010101010101,-0.446,1.0753350515463918
AZ04,2002,1.0,0,-0.282,1.071,1.353,,,,0.08309433962264151,0.050185365853658535,1.0468571428571427
AZ04,2004,1.0,0,-0.352,,,,,,-0.10866497461928934,-0.10866497461928934,
AZ05,1980,0.0,0,,,,,,,,,
AZ05,1982,1.0,0,-0.618,0.7325,1.3505,,,,0.5183681318681319,-0.40145901639344256,0.7035478547854785
AZ05,1984,1.0,0,,0.849,,-0.589,,,-0.30275690607734806,-0.34244252873563213,0.6837142857142856
AZ05,1986,1.0,0,-0.764,,,-0.8,0.718,1.518,0.6589155555555556,-0.7205,0.6838823529411765
AZ05,1988,1.0,0,,0.805,,,,,0.7206788990825689,,0.7206788990825689
AZ05,1990,1.0,0,,,,,,,0.6890882352941176,,0.6890882352941176
AZ05,1992,1.0,0,-0.874,1.1235,1.9975,,,,0.688639344262295,-0.8690370370370369,0.8824516129032257
AZ05,1994,1.0,0,-0.619,0.847,1.466,,,,0.5042019543973941,-0.3839230769230769,0.7427479338842975
AZ05,1996,1.0,0,,0.885,,-0.619,,,0.7803653846153846,-0.609,0.7893290322580645
AZ05,1998,1.0,0,-0.8140000000000001,0.767,1.581,,,,0.3337612903225806,-0.7219651162790698,0.7219429223744293
AZ05,2000,1.0,0,-1.0266666666666666,0.786,1.8126666666666666,,,,0.23690850277264325,-0.5696464891041162,0.7348266068759343
AZ05,2002,1.0,0,-0.6095,1.121,1.7305000000000001,-1.176,,,0.8486207729468599,-0.5181641791044775,1.1125244956772333
AZ05,2004,1.0,0,-1.389,0.29750000000000004,1.6865,,,,0.8676305278174037,-1.1643333333333332,0.8763638968481375
AZ06,1980,0.0,0,,,,,,,,,
AZ06,1982,0.0,0,,,,,,,,,
AZ06,1984,0.0,0,,,,,,,,,
AZ06,1986,0.0,0,,,,,,,,,
AZ06,1988,0.0,0,,,,,,,,,
AZ06,1990,0.0,0,,,,,,,,,
AZ06,1992,1.0,0,-0.48233333333333334,1.0622500000000001,1.5445833333333334,,,,0.6431674565560821,-0.4013463687150838,1.0549911894273127
AZ06,1994,1.0,0,-1.098,0.9105714285714285,2.0085714285714285,-0.704,1.396,2.0999999999999996,0.6990715859030836,-0.38791439688715956,1.1281889400921659
AZ06,1996,1.0,0,-0.747,1.232,1.979,,,,0.6289607843137255,-0.553563981042654,1.1809800884955752
AZ06,1998,1.0,0,-0.795,1.172,1.967,,,,0.5075,-0.5529999999999999,1.1205057803468208
AZ06,2000,1.0,0,-0.04600000000000002,1.145,1.191,,,,1.070377319587629,-0.07836363636363637,1.097035864978903
AZ06,2002,1.0,0,-0.96,1.137,2.097,-0.953,,,1.0656847826086955,-0.9366666666666666,1.0988729281767955
AZ06,2004,1.0,0,,1.0114999999999998,,,,,1.0363391304347827,,1.0363391304347827
AZ07,1980,0.0,0,,,,,,,,,
AZ07,1982,0.0,0,,,,,,,,,
AZ07,1984,0.0,0,,,,,,,,,
AZ07,1986,0.0,0,,,,,,,,,
AZ07,1988,0.0,0,,,,,,,,,
AZ07,1990,0.0,0,,,,,,,,,
