district,cycle,real_data,territorial
CA08,1990,1.0,0
CA08,1992,1.0,0
CA08,1994,1.0,0
CA08,1996,1.0,0
CA08,1998,1.0,0
CA08,2000,1.0,0
CA08,2002,1.0,0
CA08,2004,1.0,0
CA09,1980,1.0,0
CA09,1982,1.0,0
CA09,1984,1.0,0
CA09,1986,1.0,0
CA09,1988,1.0,0
CA09,1990,1.0,0
CA09,1992,1.0,0
CA09,1994,1.0,0
CA09,1996,1.0,0
CA09,1998,1.0,0
CA09,2000,1.0,0
CA09,2002,1.0,0
CA09,2004,1.0,0
CA10,1980,1.0,0
CA10,1982,1.0,0
CA10,1984,1.0,0
CA10,1986,1.0,0
CA10,1988,1.0,0
CA10,1990,1.0,0
CA10,1992,1.0,0
CA10,1994,1.0,0
CA10,1996,1.0,0
CA10,1998,1.0,0
CA10,2000,1.0,0
CA10,2002,1.0,0
CA10,2004,1.0,0
CA11,1980,1.0,0
CA11,1982,1.0,0
CA11,1984,1.0,0
CA11,1986,1.0,0
CA11,1988,1.0,0
CA11,1990,1.0,0
CA11,1992,1.0,0
CA11,1994,1.0,0
CA11,1996,1.0,0
CA11,1998,1.0,0
CA11,2000,1.0,0
CA11,2002,1.0,0
CA11,2004,1.0,0
CA12,1980,1.0,0
CA12,1982,1.0,0
CA12,1984,1.0,0
CA12,1986,1.0,0
CA12,1988,1.0,0
CA12,1990,1.0,0
CA12,1992,1.0,0
CA12,1994,1.0,0
CA12,1996,1.0,0
CA12,1998,1.0,0
CA12,2000,1.0,0
CA12,2002,1.0,0
CA12,2004,1.0,0
CA13,1980,1.0,0
CA13,1982,1.0,0
CA13,1984,1.0,0
CA13,1986,1.0,0
CA13,1988,1.0,0
CA13,1990,1.0,0
CA13,1992,1.0,0
CA13,1994,1.0,0
CA13,1996,1.0,0
CA13,1998,1.0,0
CA13,2000,1.0,0
CA13,2002,1.0,0
